#date, pm25, pm10, o3, no2, so2, co
2019/1/7, 64, , 22, , 5, 9
2019/1/8, 86, , 7, , 3, 5
2019/1/9, 65, , 23, , 8, 6
2019/1/10, 78, , 22, , 6, 3
2019/1/11, 50, , 31, , 7, 4
2019/1/12, 61, , 48, , 2, 5
2019/1/13, 60, , 12, , , 3
2019/1/14, 49, , 30, , 2, 5
2019/1/15, 59, , 32, , 3, 7
2019/1/16, 79, , 33, , 2, 6
2019/1/17, 77, , 29, , 3, 6
2019/1/18, 68, , 30, , 3, 7
2019/1/19, 61, , 32, , 2, 5
2019/1/20, 55, , 24, , 1, 5
2019/1/21, 37, , 25, , 2, 6
2019/1/22, 51, , 31, , 1, 4
2019/1/23, 47, , 28, , , 4
2019/1/24, 45, , 24, , 1, 4
2019/1/25, 42, , 31, , 1, 6
2019/1/26, 63, , 33, , 1, 5
2019/1/27, 51, , 37, , 1, 5
2019/1/28, 48, , 35, , 2, 6
2019/1/29, 61, , 43, , 2, 7
2019/1/30, 59, , 44, , 2, 6
2019/1/31, 55, , 34, , 2, 8
2019/2/1, 67, , 41, , 1, 7
2019/2/2, 57, , 41, , , 7
2019/2/3, 60, , 42, , , 7
2019/2/4, 58, , 27, , 3, 7
2019/2/5, 65, , 28, , 3, 5
2019/2/6, 55, , 30, , 3, 4
2019/2/7, 50, , 22, , 4, 6
2019/2/8, 63, , 40, , 4, 6
2019/2/9, 69, , 43, , 4, 6
2019/2/10, 68, , 43, , 2, 5
2019/2/11, 49, , 39, , 5, 7
2019/2/12, 75, , 38, , 4, 5
2019/2/13, 64, , 29, , 5, 5
2019/2/14, 60, , 38, , 3, 4
2019/2/15, 47, , 36, , 3, 6
2019/2/16, 65, , 71, , 5, 5
2019/2/17, 76, , 53, , 2, 4
2019/2/18, 68, , 38, , 2, 6
2019/2/19, 67, , 29, , 3, 6
2019/2/20, 64, , 34, , 3, 7
2019/2/21, 61, , 34, , 3, 6
