date, pm25, pm10, o3, no2, so2, co
2019/5/13, 61, , 9, , 6, 10
2019/5/14, 80, , 18, , 4, 9
2019/5/15, 65, , 20, , 4, 8
2019/5/16, 48, , 27, , 3, 7
2019/5/17, 56, , 22, , 2, 8
2019/5/18, 66, , 24, , 3, 7
2019/5/19, 44, , 13, , 1, 8
2019/5/20, 38, , 18, , 4, 11
2019/5/21, 68, , 24, , 3, 6
2019/5/22, 71, , 21, , 4, 7
2019/5/23, 67, , 21, , 5, 7
2019/5/24, 67, , 25, , 4, 5
2019/5/25, 52, , 27, , 3, 4
2019/5/26, 48, , 22, , 3, 6
2019/5/27, 45, , 28, , 4, 6
2019/5/28, 66, , 22, , 5, 7
2019/5/29, 59, , 23, , 3, 8
2019/5/30, 62, , 18, , 2, 7
2019/5/31, 61, , 19, , 2, 7
2019/6/1, 48, , 29, , 1, 7
2019/6/2, 53, , 22, , 2, 8
2019/6/3, 45, , 22, , 2, 7
2019/6/4, 40, , 21, , 3, 7
2019/6/5, 41, , 22, , 2, 6
2019/6/6, 39, , 24, , 3, 7
2019/6/7, 46, , 26, , 3, 7
2019/6/8, 64, , 25, , 3, 7
2019/6/9, 57, , 22, , 2, 6
2019/6/10, 41, , 18, , 2, 7
2019/6/11, 53, , 14, , 4, 9
2019/6/12, 71, , 15, , 6, 10
2019/6/13, 75, , 11, , 5, 10
2019/6/14, 84, , 15, , 4, 10
2019/6/15, 88, , 23, , 2, 6
2019/6/16, 65, , 22, , 2, 5
2019/6/17, 45, , 21, , , 4
2019/6/18, 32, , 22, , 1, 4
2019/6/19, 27, , 27, , 1, 5
2019/6/20, 35, , 19, , 2, 7
2019/6/21, 47, , 22, , , 4
2019/6/22, 22, , 24, , , 4
2019/6/23, 30, , 21, , , 4
2019/6/24, 26, , 22, , 1, 7
2019/6/25, 57, , 26, , 5, 9
2019/6/29, 29, , 21, , 6, 4
2019/6/30, 41, , 23, , , 1
2019/7/1, 23, , 26, , 1, 4
2019/1/2, 49, , 20, , 4, 3
2019/1/3, 36, , 20, , 4, 4
2019/1/4, 39, , 18, , 5, 6
2019/1/5, 46, , 26, , 5, 6
2019/1/6, 59, , 24, , 5, 8
2019/1/7, 62, , 16, , 4, 10
2019/1/8, 70, , 13, , 3, 9
2019/1/9, 50, , 18, , 7, 10
2019/1/10, 70, , 14, , 3, 6
2019/1/11, 44, , 20, , 4, 5
2019/1/12, 51, , 29, , 3, 4
2019/1/13, 54, , 10, , 2, 3
2019/1/14, 50, , 25, , 4, 6
2019/1/15, 60, , 25, , 6, 8
2019/1/16, 72, , 22, , 7, 9
2019/1/17, 80, , 23, , 7, 8
2019/1/18, 69, , 25, , 7, 8
2019/1/19, 54, , 22, , 5, 7
2019/1/20, 56, , 20, , 3, 6
2019/1/21, 40, , 21, , 4, 8
2019/1/22, 53, , 24, , 4, 6
2019/1/23, 45, , 22, , 4, 6
2019/1/24, 43, , 20, , 5, 7
2019/1/25, 47, , 24, , 5, 13
2019/1/26, 57, , 26, , 5, 11
2019/1/27, 51, , 27, , 3, 12
2019/1/28, 47, , 21, , 3, 9
2019/1/29, 43, , 25, , 3, 7
2019/1/30, 58, , 28, , 4, 7
2019/1/31, 53, , 21, , 4, 9
2019/2/1, 65, , 25, , 3, 8
2019/2/2, 49, , 27, , 3, 7
2019/2/3, 50, , 28, , 3, 6
2019/2/4, 39, , 20, , 4, 10
2019/2/5, 55, , 19, , 4, 8
2019/2/6, 56, , 21, , 6, 9
2019/2/7, 69, , 14, , 4, 9
2019/2/8, 70, , 25, , 4, 10
2019/2/9, 69, , 22, , 3, 8
2019/2/10, 55, , 25, , 3, 7
2019/2/11, 49, , 22, , 4, 8
2019/2/12, 54, , 26, , 5, 9
2019/2/13, 59, , 21, , 5, 7
2019/2/14, 54, , 22, , 7, 11
2019/2/15, 73, , 15, , 7, 11
2019/2/16, 74, , 36, , 7, 8
2019/2/17, 80, , 35, , 4, 7
2019/2/18, 64, , 21, , 3, 9
2019/2/19, 63, , 19, , 4, 8
2019/2/20, 58, , 21, , 6, 8
2019/2/21, 65, , 21, , 6, 8
2019/2/22, 62, , 27, , 6, 8
2019/2/23, 61, , 28, , 4, 8
